NEWID,WMLE
10240540ÿ,-0.52
10240541ÿ,-0.52
10240542ÿ,-0.52
10240543ÿ,-0.52
10240544ÿ,-0.52
10240545ÿ,-0.52
10240546ÿ,-0.52
10260563ÿ,1.6
10260564ÿ,1.6
10260565ÿ,1.6
10260566ÿ,1.6
10260567ÿ,1.6
10260568ÿ,1.6
10260569ÿ,1.6
10260570ÿ,1.6
10260571ÿ,1.6
10260572ÿ,1.6
10260573ÿ,1.6
10260574ÿ,1.6
10260575ÿ,1.6
10260576ÿ,1.6
10260577ÿ,1.6
10260578ÿ,1.6
10260579ÿ,1.6
10260580ÿ,1.6
10260581ÿ,1.6
10260582ÿ,1.6
10260583ÿ,1.6
10260584ÿ,1.6
10260585ÿ,1.6
10260586ÿ,1.6
10260587ÿ,1.6
10260588ÿ,1.6
10260589ÿ,1.6
10260590ÿ,1.6
10260591ÿ,1.6
10260592ÿ,1.6
10260593ÿ,1.6
10270594ÿ,-1.23
10270595ÿ,-1.23
10270596ÿ,-1.23
10270597ÿ,-1.23
10270598ÿ,-1.23
10270599ÿ,-1.23
10270600ÿ,-1.23
10270601ÿ,-1.23
10270602ÿ,-1.23
10270603ÿ,-1.23
10270604ÿ,-1.23
10270605ÿ,-1.23
10270606ÿ,-1.23
10270607ÿ,-1.23
10270608ÿ,-1.23
10270609ÿ,-1.23
10270610ÿ,-1.23
10270611ÿ,-1.23
10270612ÿ,-1.23
10270613ÿ,-1.23
10270614ÿ,-1.23
10270615ÿ,-1.23
10270616ÿ,-1.23
10270617ÿ,-1.23
10270618ÿ,-1.23
10270619ÿ,-1.23
10270620ÿ,-1.23
10270621ÿ,-1.23
10270622ÿ,-1.23
10270623ÿ,-1.23
10270624ÿ,-1.23
10270625ÿ,-1.23
10270626ÿ,-1.23
10270627ÿ,-1.23
10280628ÿ,-0.18
10280629ÿ,-0.18
10280630ÿ,-0.18
10280631ÿ,-0.18
10280632ÿ,-0.18
10280633ÿ,-0.18
10280634ÿ,-0.18
10280635ÿ,-0.18
10280636ÿ,-0.18
10280637ÿ,-0.18
10280638ÿ,-0.18
10280639ÿ,-0.18
10280640ÿ,-0.18
10280641ÿ,-0.18
10280642ÿ,-0.18
10280643ÿ,-0.18
10280644ÿ,-0.18
10280645ÿ,-0.18
10280646ÿ,-0.18
10280647ÿ,-0.18
10280648ÿ,-0.18
10280649ÿ,-0.18
10280650ÿ,-0.18
10280651ÿ,-0.18
10280652ÿ,-0.18
10280653ÿ,-0.18
10280654ÿ,-0.18
10280655ÿ,-0.18
10280656ÿ,-0.18
10280657ÿ,-0.18
10280658ÿ,-0.18
10280659ÿ,-0.18
10280660ÿ,-0.18
10280661ÿ,-0.18
10280662ÿ,-0.18
10290663ÿ,-2.41
10290664ÿ,-2.41
10290665ÿ,-2.41
10290666ÿ,-2.41
10290667ÿ,-2.41
10290668ÿ,-2.41
10290669ÿ,-2.41
10290670ÿ,-2.41
10290671ÿ,-2.41
10290672ÿ,-2.41
10290673ÿ,-2.41
10300674ÿ,-1.99
10300675ÿ,-1.99
10300676ÿ,-1.99
10300677ÿ,-1.99
10300678ÿ,-1.99
10300679ÿ,-1.99
10300680ÿ,-1.99
10300681ÿ,-1.99
10300682ÿ,-1.99
10300683ÿ,-1.99
10300684ÿ,-1.99
10300685ÿ,-1.99
10300686ÿ,-1.99
10300687ÿ,-1.99
10300688ÿ,-1.99
10310689ÿ,3.36
10310690ÿ,3.36
10310691ÿ,3.36
10310692ÿ,3.36
10310693ÿ,3.36
10310694ÿ,3.36
10310695ÿ,3.36
