NEWID,WMLE
10270601 ,-1.23
10270602 ,-1.23
10270603 ,-1.23
10270604 ,-1.23
10270605 ,-1.23
10270606 ,-1.23
10270607 ,-1.23
10270608 ,-1.23
10270609 ,-1.23
10270610 ,-1.23
10270611 ,-1.23
10270612 ,-1.23
10270613 ,-1.23
10270614 ,-1.23
10270615 ,-1.23
10270616 ,-1.23
10270617 ,-1.23
10270618 ,-1.23
10270619 ,-1.23
10270620 ,-1.23
10270621 ,-1.23
10270622 ,-1.23
10270623 ,-1.23
10270624 ,-1.23
10270625 ,-1.23
10270626 ,-1.23
10270627 ,-1.23
10280628 ,-0.18
10280629 ,-0.18
10280630 ,-0.18
10280631 ,-0.18
10280632 ,-0.18
10280633 ,-0.18
10280634 ,-0.18
10280635 ,-0.18
10280636 ,-0.18
10280637 ,-0.18
10280638 ,-0.18
10280639 ,-0.18
10280640 ,-0.18
10280641 ,-0.18
10280642 ,-0.18
10280643 ,-0.18
10280644 ,-0.18
10280645 ,-0.18
10280646 ,-0.18
10280647 ,-0.18
10280648 ,-0.18
10280649 ,-0.18
10280650 ,-0.18
10280651 ,-0.18
10280652 ,-0.18
10280653 ,-0.18
10280654 ,-0.18
10280655 ,-0.18
10280656 ,-0.18
10280657 ,-0.18
10280658 ,-0.18
10280659 ,-0.18
10280660 ,-0.18
10280661 ,-0.18
10280662 ,-0.18
10290663 ,-2.41
10290664 ,-2.41
10290665 ,-2.41
10290666 ,-2.41
10290667 ,-2.41
10290668 ,-2.41
10290669 ,-2.41
10290670 ,-2.41
10290671 ,-2.41
10290672 ,-2.41
10290673 ,-2.41
10300674 ,-1.99
10300675 ,-1.99
10300676 ,-1.99
10300677 ,-1.99
10300678 ,-1.99
10300679 ,-1.99
10300680 ,-1.99
10300681 ,-1.99
10300682 ,-1.99
10300683 ,-1.99
10300684 ,-1.99
10300685 ,-1.99
10300686 ,-1.99
10300687 ,-1.99
10300688 ,-1.99
10310689 ,3.36
10310690 ,3.36
10310691 ,3.36
10310692 ,3.36
10310693 ,3.36
10310694 ,3.36
10310695 ,3.36
10310696 ,3.36
10310697 ,3.36
10310698 ,3.36
10310699 ,3.36
10310700 ,3.36
10310701 ,3.36
10310702 ,3.36
10310703 ,3.36
10310704 ,3.36
10310705 ,3.36
10310706 ,3.36
10310707 ,3.36
10310708 ,3.36
10310709 ,3.36
10310710 ,3.36
10310711 ,3.36
10310712 ,3.36
10310713 ,3.36
10310714 ,3.36
10310715 ,3.36
10310716 ,3.36
10310717 ,3.36
10320718 ,-0.87
10320719 ,-0.87
10320720 ,-0.87
10320721 ,-0.87
10320722 ,-0.87
10320723 ,-0.87
10320724 ,-0.87
10320725 ,-0.87
10320726 ,-0.87
10320727 ,-0.87
10320728 ,-0.87
10320729 ,-0.87
10320730 ,-0.87
10320731 ,-0.87
10320732 ,-0.87
10320733 ,-0.87
10320734 ,-0.87
10320735 ,-0.87
10320736 ,-0.87
10320737 ,-0.87
10320738 ,-0.87
10320739 ,-0.87
10320740 ,-0.87
10320741 ,-0.87
10320742 ,-0.87
10320743 ,-0.87
10320744 ,-0.87
10320745 ,-0.87
10320746 ,-0.87
10320747 ,-0.87
10320748 ,-0.87
10320749 ,-0.87
10320750 ,-0.87
10320751 ,-0.87
10330752 ,-0.87
10330753 ,-0.87
10330754 ,-0.87
10330755 ,-0.87
10330756 ,-0.87
10330757 ,-0.87
10330758 ,-0.87
10330759 ,-0.87
10330760 ,-0.87
10330761 ,-0.87
10330762 ,-0.87
10330763 ,-0.87
10330764 ,-0.87
10330765 ,-0.87
10330766 ,-0.87
10330767 ,-0.87
10330768 ,-0.87
10330769 ,-0.87
10330770 ,-0.87
10330771 ,-0.87
10330772 ,-0.87
10330773 ,-0.87
10330774 ,-0.87
10330775 ,-0.87
10330776 ,-0.87
10330777 ,-0.87
10330778 ,-0.87
10330779 ,-0.87
10330780 ,-0.87
10330781 ,-0.87
10340782 ,-2.41
10340783 ,-2.41
10340784 ,-2.41
10340785 ,-2.41
10340786 ,-2.41
10340787 ,-2.41
10340788 ,-2.41
10340789 ,-2.41
10340790 ,-2.41
10340791 ,-2.41
10340792 ,-2.41
10340793 ,-2.41
10340794 ,-2.41
10340795 ,-2.41
10340796 ,-2.41
10340797 ,-2.41
10340798 ,-2.41
10340799 ,-2.41
10340800 ,-2.41
10340801 ,-2.41
10340802 ,-2.41
10340803 ,-2.41
10350804 ,-1.99
10350805 ,-1.99
10350806 ,-1.99
10350807 ,-1.99
10350808 ,-1.99
10350809 ,-1.99
10350810 ,-1.99
10350811 ,-1.99
10350812 ,-1.99
10350813 ,-1.99
10350814 ,-1.99
10350815 ,-1.99
10350816 ,-1.99
10350817 ,-1.99
10350818 ,-1.99
10350819 ,-1.99
10350820 ,-1.99
10350821 ,-1.99
10350822 ,-1.99
10350823 ,-1.99
10350824 ,-1.99
10350825 ,-1.99
10350826 ,-1.99
10350827 ,-1.99
10350828 ,-1.99
10350829 ,-1.99
10350830 ,-1.99
10350831 ,-1.99
10350832 ,-1.99
10350833 ,-1.99
10350834 ,-1.99
10360835 ,-1.6
10360836 ,-1.6
10360837 ,-1.6
10360838 ,-1.6
10360839 ,-1.6
10360840 ,-1.6
10360841 ,-1.6
10360842 ,-1.6
10360843 ,-1.6
10360844 ,-1.6
10360845 ,-1.6
10360846 ,-1.6
10360847 ,-1.6
10360848 ,-1.6
10360849 ,-1.6
10360850 ,-1.6
10360851 ,-1.6
10360852 ,-1.6
10360853 ,-1.6
10360854 ,-1.6
10360855 ,-1.6
10360856 ,-1.6
10360857 ,-1.6
10360858 ,-1.6
10360859 ,-1.6
10360860 ,-1.6
10360861 ,-1.6
10360862 ,-1.6
10360863 ,-1.6
10360864 ,-1.6
10360865 ,-1.6
10360866 ,-1.6
10370867 ,-1.99
10370868 ,-1.99
10370869 ,-1.99
10370870 ,-1.99
10370871 ,-1.99
10370872 ,-1.99
10370873 ,-1.99
10370874 ,-1.99
10370875 ,-1.99
10370876 ,-1.99
10370877 ,-1.99
10370878 ,-1.99
10370879 ,-1.99
10370880 ,-1.99
10370881 ,-1.99
10370882 ,-1.99
10370883 ,-1.99
10370884 ,-1.99
10370885 ,-1.99
10370886 ,-1.99
10370887 ,-1.99
10370888 ,-1.99
10370889 ,-1.99
10370890 ,-1.99
10370891 ,-1.99
10370892 ,-1.99
10370893 ,-1.99
10370894 ,-1.99
10370895 ,-1.99
10370896 ,-1.99
10370897 ,-1.99
10370898 ,-1.99
10370899 ,-1.99
10380900 ,0.17
10380901 ,0.17
10380902 ,0.17
10380903 ,0.17
10380904 ,0.17
10380905 ,0.17
10380906 ,0.17
10380907 ,0.17
10390908 ,-2.86
10390909 ,-2.86
10390910 ,-2.86
10390911 ,-2.86
10400912 ,-2.41
10400913 ,-2.41
10400914 ,-2.41
10400915 ,-2.41
10400916 ,-2.41
10400917 ,-2.41
10400918 ,-2.41
10400919 ,-2.41
10400920 ,-2.41
10400921 ,-2.41
10400922 ,-2.41
10400923 ,-2.41
10400924 ,-2.41
10400925 ,-2.41
10400926 ,-2.41
10400927 ,-2.41
10400928 ,-2.41
10400929 ,-2.41
10400930 ,-2.41
10400931 ,-2.41
10400932 ,-2.41
10400933 ,-2.41
10400934 ,-2.41
10400935 ,-2.41
10400936 ,-2.41
10400937 ,-2.41
10400938 ,-2.41
10400939 ,-2.41
10400940 ,-2.41
10400941 ,-2.41
10400942 ,-2.41
10410943 ,-0.87
10410944 ,-0.87
10410945 ,-0.87
10410946 ,-0.87
10410947 ,-0.87
10410948 ,-0.87
10410949 ,-0.87
10410950 ,-0.87
10410951 ,-0.87
10410952 ,-0.87
10410953 ,-0.87
10410954 ,-0.87
10410955 ,-0.87
10410956 ,-0.87
10410957 ,-0.87
10410958 ,-0.87
10410959 ,-0.87
10410960 ,-0.87
10410961 ,-0.87
10410962 ,-0.87
10410963 ,-0.87
10410964 ,-0.87
10410965 ,-0.87
10410966 ,-0.87
10410967 ,-0.87
10410968 ,-0.87
10410969 ,-0.87
10410970 ,-0.87
10410971 ,-0.87
10420972 ,-1.6
10420973 ,-1.6
10420974 ,-1.6
10420975 ,-1.6
10420976 ,-1.6
10420977 ,-1.6
10420978 ,-1.6
10420979 ,-1.6
10420980 ,-1.6
10420981 ,-1.6
10420982 ,-1.6
10430983 ,0.17
10430984 ,0.17
10430985 ,0.17
10430986 ,0.17
10430987 ,0.17
10430988 ,0.17
10430989 ,0.17
10430990 ,0.17
10430991 ,0.17
10430992 ,0.17
10430993 ,0.17
10430994 ,0.17
10430995 ,0.17
10430996 ,0.17
10430997 ,0.17
10430998 ,0.17
10430999 ,0.17
10431000 ,0.17
10431001 ,0.17
10431002 ,0.17
10431003 ,0.17
10431004 ,0.17
10431005 ,0.17
10431006 ,0.17
10431007 ,0.17
10431008 ,0.17
10431009 ,0.17
10431010 ,0.17
10431011 ,0.17
10431012 ,0.17
10431013 ,0.17
10441014 ,-2.86
10441015 ,-2.86
10441016 ,-2.86
10441017 ,-2.86
10441018 ,-2.86
10441019 ,-2.86
10441020 ,-2.86
10441021 ,-2.86
10441022 ,-2.86
10441023 ,-2.86
